item,itemLabel,creatorLabel,inception,height,width,materialLabel,image
http://www.wikidata.org/entity/Q50119904,梳粧,李梅樹,1969-01-01T00:00:00Z,116.5,80,油彩,http://commons.wikimedia.org/wiki/Special:FilePath/Putting%20Up%20Her%20Hair%2C%20By%20Mei-shu%20Li.jpg
http://www.wikidata.org/entity/Q50119905,冰果店,李梅樹,1974-01-01T00:00:00Z,89.5,130,油彩,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Refreshment%20Stand%2C%20By%20Mei-Shu%20Li.jpg
http://www.wikidata.org/entity/Q50119905,冰果店,李梅樹,1974-01-01T00:00:00Z,89.5,130,帆布,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Refreshment%20Stand%2C%20By%20Mei-Shu%20Li.jpg
http://www.wikidata.org/entity/Q50119907,愛孫,李梅樹,1965-01-01T00:00:00Z,112,145,,http://commons.wikimedia.org/wiki/Special:FilePath/Grandchildren%2C%20by%20Lee%20Mei%20Shu.jpg
http://www.wikidata.org/entity/Q50119908,露台,李梅樹,1950-01-01T00:00:00Z,162,130,油彩,http://commons.wikimedia.org/wiki/Special:FilePath/On%20The%20Terrace%2C%20by%20Mei-shu%20Li.jpg
http://www.wikidata.org/entity/Q50119910,戲水,李梅樹,1979-01-01T00:00:00Z,116.5,90,,http://commons.wikimedia.org/wiki/Special:FilePath/Enjoying%20The%20Rippling%20Water%20%2Cby%20Li%20mei-shu.jpg
http://www.wikidata.org/entity/Q50119912,屋頂花園,李梅樹,1975-01-01T00:00:00Z,116.5,80,油彩,http://commons.wikimedia.org/wiki/Special:FilePath/Rooftop%20Flower%20Garden%2Cby%20Li%20Mei-shu.jpg
http://www.wikidata.org/entity/Q50119916,納涼,李梅樹,1976-01-01T00:00:00Z,91,116.5,油彩,http://commons.wikimedia.org/wiki/Special:FilePath/Cooling%20Off%20In%20The%20Shade%2C%20by%20Mei-shu%20Li.jpg
http://www.wikidata.org/entity/Q50119920,春風,李梅樹,1953-01-01T00:00:00Z,116.5,80,油彩,http://commons.wikimedia.org/wiki/Special:FilePath/Springtime%20%2C%20by%20Mei-shu%20Li.jpg
http://www.wikidata.org/entity/Q50391252,拾落葉的童年,李梅樹,1934-01-01T00:00:00Z,91,72,,http://commons.wikimedia.org/wiki/Special:FilePath/The%20girl%2C%20by%20Li%20Mei-Shu.jpg
